"RowIDs";"Maßnahme%Kennzahl%Maßeinheit";"Maßnahmen_ID";"Maßnahmen_Bez";"Um was geht es?";"Details";"Kennzahl";"Maßeinheit";"Jahr";"Wert";"Maßnahme%Kennzahl%Maßeinheit%Jahr"
"Row5_?";"A1.2%?%?%Spezifische CO2-Emissionen Fernwärme* %g/kWh";"A1.2";"Roadmap für eine Transformation (Defossilisierung) der Wärmeversorgung";;;"Spezifische CO2-Emissionen Fernwärme* ";"g/kWh";"2017";73;"""A1.2%?%?%Spezifische CO2-Emissionen Fernwärme* %g/kWh""%2017"
"Row5_?";"A1.2%?%?%Spezifische CO2-Emissionen Fernwärme* %g/kWh";"A1.2";"Roadmap für eine Transformation (Defossilisierung) der Wärmeversorgung";;;"Spezifische CO2-Emissionen Fernwärme* ";"g/kWh";"2016";79;"""A1.2%?%?%Spezifische CO2-Emissionen Fernwärme* %g/kWh""%2016"
"Row5_?";"A1.2%?%?%Spezifische CO2-Emissionen Fernwärme* %g/kWh";"A1.2";"Roadmap für eine Transformation (Defossilisierung) der Wärmeversorgung";;;"Spezifische CO2-Emissionen Fernwärme* ";"g/kWh";"2015";112;"""A1.2%?%?%Spezifische CO2-Emissionen Fernwärme* %g/kWh""%2015"
"Row5_?";"A1.2%?%?%Spezifische CO2-Emissionen Fernwärme* %g/kWh";"A1.2";"Roadmap für eine Transformation (Defossilisierung) der Wärmeversorgung";;;"Spezifische CO2-Emissionen Fernwärme* ";"g/kWh";"2014";121;"""A1.2%?%?%Spezifische CO2-Emissionen Fernwärme* %g/kWh""%2014"
"Row5_?";"A1.2%?%?%Spezifische CO2-Emissionen Fernwärme* %g/kWh";"A1.2";"Roadmap für eine Transformation (Defossilisierung) der Wärmeversorgung";;;"Spezifische CO2-Emissionen Fernwärme* ";"g/kWh";"2013";103;"""A1.2%?%?%Spezifische CO2-Emissionen Fernwärme* %g/kWh""%2013"
"Row5_?";"A1.2%?%?%Spezifische CO2-Emissionen Fernwärme* %g/kWh";"A1.2";"Roadmap für eine Transformation (Defossilisierung) der Wärmeversorgung";;;"Spezifische CO2-Emissionen Fernwärme* ";"g/kWh";"2012";111;"""A1.2%?%?%Spezifische CO2-Emissionen Fernwärme* %g/kWh""%2012"
"Row5_?";"A1.2%?%?%Spezifische CO2-Emissionen Fernwärme* %g/kWh";"A1.2";"Roadmap für eine Transformation (Defossilisierung) der Wärmeversorgung";;;"Spezifische CO2-Emissionen Fernwärme* ";"g/kWh";"2011";99;"""A1.2%?%?%Spezifische CO2-Emissionen Fernwärme* %g/kWh""%2011"
"Row5_?";"A1.2%?%?%Spezifische CO2-Emissionen Fernwärme* %g/kWh";"A1.2";"Roadmap für eine Transformation (Defossilisierung) der Wärmeversorgung";;;"Spezifische CO2-Emissionen Fernwärme* ";"g/kWh";"2010";162;"""A1.2%?%?%Spezifische CO2-Emissionen Fernwärme* %g/kWh""%2010"
"Row6_Row2";"A1.3%Ökostrom%?%Tarifkunden Ökostrom (OK power)*%Anzahl";"A1.3";"Nachhaltigkeitsorientierte Produktgestaltung der Stadtwerke";"Ökostrom";;"Tarifkunden Ökostrom (OK power)*";"Anzahl";"2023";0;"""A1.3%Ökostrom%?%Tarifkunden Ökostrom (OK power)*%Anzahl""%2023"
"Row6_Row2";"A1.3%Ökostrom%?%Tarifkunden Ökostrom (OK power)*%Anzahl";"A1.3";"Nachhaltigkeitsorientierte Produktgestaltung der Stadtwerke";"Ökostrom";;"Tarifkunden Ökostrom (OK power)*";"Anzahl";"2022";16661;"""A1.3%Ökostrom%?%Tarifkunden Ökostrom (OK power)*%Anzahl""%2022"
"Row6_Row2";"A1.3%Ökostrom%?%Tarifkunden Ökostrom (OK power)*%Anzahl";"A1.3";"Nachhaltigkeitsorientierte Produktgestaltung der Stadtwerke";"Ökostrom";;"Tarifkunden Ökostrom (OK power)*";"Anzahl";"2021";16982;"""A1.3%Ökostrom%?%Tarifkunden Ökostrom (OK power)*%Anzahl""%2021"
"Row6_Row2";"A1.3%Ökostrom%?%Tarifkunden Ökostrom (OK power)*%Anzahl";"A1.3";"Nachhaltigkeitsorientierte Produktgestaltung der Stadtwerke";"Ökostrom";;"Tarifkunden Ökostrom (OK power)*";"Anzahl";"2020";12578;"""A1.3%Ökostrom%?%Tarifkunden Ökostrom (OK power)*%Anzahl""%2020"
"Row6_Row2";"A1.3%Ökostrom%?%Tarifkunden Ökostrom (OK power)*%Anzahl";"A1.3";"Nachhaltigkeitsorientierte Produktgestaltung der Stadtwerke";"Ökostrom";;"Tarifkunden Ökostrom (OK power)*";"Anzahl";"2019";11419;"""A1.3%Ökostrom%?%Tarifkunden Ökostrom (OK power)*%Anzahl""%2019"
"Row6_Row2";"A1.3%Ökostrom%?%Tarifkunden Ökostrom (OK power)*%Anzahl";"A1.3";"Nachhaltigkeitsorientierte Produktgestaltung der Stadtwerke";"Ökostrom";;"Tarifkunden Ökostrom (OK power)*";"Anzahl";"2018";9064;"""A1.3%Ökostrom%?%Tarifkunden Ökostrom (OK power)*%Anzahl""%2018"
"Row6_Row2";"A1.3%Ökostrom%?%Tarifkunden Ökostrom (OK power)*%Anzahl";"A1.3";"Nachhaltigkeitsorientierte Produktgestaltung der Stadtwerke";"Ökostrom";;"Tarifkunden Ökostrom (OK power)*";"Anzahl";"2017";9064;"""A1.3%Ökostrom%?%Tarifkunden Ökostrom (OK power)*%Anzahl""%2017"
"Row6_Row2";"A1.3%Ökostrom%?%Tarifkunden Ökostrom (OK power)*%Anzahl";"A1.3";"Nachhaltigkeitsorientierte Produktgestaltung der Stadtwerke";"Ökostrom";;"Tarifkunden Ökostrom (OK power)*";"Anzahl";"2016";7786;"""A1.3%Ökostrom%?%Tarifkunden Ökostrom (OK power)*%Anzahl""%2016"
"Row6_Row2";"A1.3%Ökostrom%?%Tarifkunden Ökostrom (OK power)*%Anzahl";"A1.3";"Nachhaltigkeitsorientierte Produktgestaltung der Stadtwerke";"Ökostrom";;"Tarifkunden Ökostrom (OK power)*";"Anzahl";"2015";6979;"""A1.3%Ökostrom%?%Tarifkunden Ökostrom (OK power)*%Anzahl""%2015"
"Row6_Row2";"A1.3%Ökostrom%?%Tarifkunden Ökostrom (OK power)*%Anzahl";"A1.3";"Nachhaltigkeitsorientierte Produktgestaltung der Stadtwerke";"Ökostrom";;"Tarifkunden Ökostrom (OK power)*";"Anzahl";"2014";6623;"""A1.3%Ökostrom%?%Tarifkunden Ökostrom (OK power)*%Anzahl""%2014"
"Row6_Row2";"A1.3%Ökostrom%?%Tarifkunden Ökostrom (OK power)*%Anzahl";"A1.3";"Nachhaltigkeitsorientierte Produktgestaltung der Stadtwerke";"Ökostrom";;"Tarifkunden Ökostrom (OK power)*";"Anzahl";"2013";5551;"""A1.3%Ökostrom%?%Tarifkunden Ökostrom (OK power)*%Anzahl""%2013"
"Row6_Row2";"A1.3%Ökostrom%?%Tarifkunden Ökostrom (OK power)*%Anzahl";"A1.3";"Nachhaltigkeitsorientierte Produktgestaltung der Stadtwerke";"Ökostrom";;"Tarifkunden Ökostrom (OK power)*";"Anzahl";"2012";6491;"""A1.3%Ökostrom%?%Tarifkunden Ökostrom (OK power)*%Anzahl""%2012"
"Row6_Row2";"A1.3%Ökostrom%?%Tarifkunden Ökostrom (OK power)*%Anzahl";"A1.3";"Nachhaltigkeitsorientierte Produktgestaltung der Stadtwerke";"Ökostrom";;"Tarifkunden Ökostrom (OK power)*";"Anzahl";"2011";5339;"""A1.3%Ökostrom%?%Tarifkunden Ökostrom (OK power)*%Anzahl""%2011"
"Row6_Row2";"A1.3%Ökostrom%?%Tarifkunden Ökostrom (OK power)*%Anzahl";"A1.3";"Nachhaltigkeitsorientierte Produktgestaltung der Stadtwerke";"Ökostrom";;"Tarifkunden Ökostrom (OK power)*";"Anzahl";"2010";3805;"""A1.3%Ökostrom%?%Tarifkunden Ökostrom (OK power)*%Anzahl""%2010"
"Row7_Row3";"A1.3%Ökostrom%?%Absatz Ökostrom (OK power) an Tarifkunden*%MWh";"A1.3";"Nachhaltigkeitsorientierte Produktgestaltung der Stadtwerke";"Ökostrom";;"Absatz Ökostrom (OK power) an Tarifkunden*";"MWh";"2023";0;"""A1.3%Ökostrom%?%Absatz Ökostrom (OK power) an Tarifkunden*%MWh""%2023"
"Row7_Row3";"A1.3%Ökostrom%?%Absatz Ökostrom (OK power) an Tarifkunden*%MWh";"A1.3";"Nachhaltigkeitsorientierte Produktgestaltung der Stadtwerke";"Ökostrom";;"Absatz Ökostrom (OK power) an Tarifkunden*";"MWh";"2022";33622;"""A1.3%Ökostrom%?%Absatz Ökostrom (OK power) an Tarifkunden*%MWh""%2022"
"Row7_Row3";"A1.3%Ökostrom%?%Absatz Ökostrom (OK power) an Tarifkunden*%MWh";"A1.3";"Nachhaltigkeitsorientierte Produktgestaltung der Stadtwerke";"Ökostrom";;"Absatz Ökostrom (OK power) an Tarifkunden*";"MWh";"2021";32900;"""A1.3%Ökostrom%?%Absatz Ökostrom (OK power) an Tarifkunden*%MWh""%2021"
"Row7_Row3";"A1.3%Ökostrom%?%Absatz Ökostrom (OK power) an Tarifkunden*%MWh";"A1.3";"Nachhaltigkeitsorientierte Produktgestaltung der Stadtwerke";"Ökostrom";;"Absatz Ökostrom (OK power) an Tarifkunden*";"MWh";"2020";24600;"""A1.3%Ökostrom%?%Absatz Ökostrom (OK power) an Tarifkunden*%MWh""%2020"
"Row7_Row3";"A1.3%Ökostrom%?%Absatz Ökostrom (OK power) an Tarifkunden*%MWh";"A1.3";"Nachhaltigkeitsorientierte Produktgestaltung der Stadtwerke";"Ökostrom";;"Absatz Ökostrom (OK power) an Tarifkunden*";"MWh";"2019";17700;"""A1.3%Ökostrom%?%Absatz Ökostrom (OK power) an Tarifkunden*%MWh""%2019"
"Row7_Row3";"A1.3%Ökostrom%?%Absatz Ökostrom (OK power) an Tarifkunden*%MWh";"A1.3";"Nachhaltigkeitsorientierte Produktgestaltung der Stadtwerke";"Ökostrom";;"Absatz Ökostrom (OK power) an Tarifkunden*";"MWh";"2018";16100;"""A1.3%Ökostrom%?%Absatz Ökostrom (OK power) an Tarifkunden*%MWh""%2018"
"Row7_Row3";"A1.3%Ökostrom%?%Absatz Ökostrom (OK power) an Tarifkunden*%MWh";"A1.3";"Nachhaltigkeitsorientierte Produktgestaltung der Stadtwerke";"Ökostrom";;"Absatz Ökostrom (OK power) an Tarifkunden*";"MWh";"2017";16895;"""A1.3%Ökostrom%?%Absatz Ökostrom (OK power) an Tarifkunden*%MWh""%2017"
"Row7_Row3";"A1.3%Ökostrom%?%Absatz Ökostrom (OK power) an Tarifkunden*%MWh";"A1.3";"Nachhaltigkeitsorientierte Produktgestaltung der Stadtwerke";"Ökostrom";;"Absatz Ökostrom (OK power) an Tarifkunden*";"MWh";"2016";15231;"""A1.3%Ökostrom%?%Absatz Ökostrom (OK power) an Tarifkunden*%MWh""%2016"
