Plausibilität,breitengrad,laengengrad,Bruttoleistung (kWp)
Plausibel,48.979546,8.392776,69.230
Plausibel,49.023198,8.462552,69.105
Plausibel,48.997937,8.344152,69.085
Plausibel,49.010686,8.402507,68.890
Plausibel,49.018928,8.319617,68.400
Plausibel,49.028317,8.375069,67.760
Plausibel,49.011538,8.381820,66.015
Plausibel,48.982476,8.376426,65.600
Plausibel,49.046169,8.360117,64.860
Plausibel,49.037323,8.341697,64.800
Plausibel,49.037631,8.341833,64.800
Plausibel,49.025655,8.474769,64.630
Plausibel,49.023087,8.462418,64.050
Plausibel,49.033081,8.359460,63.430
Plausibel,48.996257,8.450359,63.360
Plausibel,49.046048,8.446943,62.920
Plausibel,49.019668,8.341285,62.745
Plausibel,48.987846,8.470446,62.500
Plausibel,49.004757,8.319348,62.400
Plausibel,49.003737,8.398781,62.400
Plausibel,49.060000,8.390000,62.000
Plausibel,49.026636,8.462524,61.985
Plausibel,49.064548,8.374346,60.900
Plausibel,48.970925,8.468896,60.520
Plausibel,48.963928,8.470579,60.175
Plausibel,49.042490,8.392121,59.860
Plausibel,49.029583,8.472326,59.500
Plausibel,49.026089,8.374660,59.340
Plausibel,48.992888,8.452781,59.220
Plausibel,49.032494,8.355056,59.200
Plausibel,49.037152,8.348881,58.960
Plausibel,49.006237,8.360408,58.800
Plausibel,49.030984,8.358001,58.700
Plausibel,48.953813,8.461050,58.220
Plausibel,49.032721,8.472009,57.810
Plausibel,49.059221,8.324540,57.800
Plausibel,49.006597,8.394516,57.620
Plausibel,49.008645,8.363553,57.600
Plausibel,49.032718,8.356965,57.330
Plausibel,49.006083,8.412801,56.700
Plausibel,49.007474,8.343237,56.580
Plausibel,48.981836,8.374852,55.890
Plausibel,49.018768,8.366272,55.860
Plausibel,49.011666,8.354991,55.800
Plausibel,49.065924,8.371677,55.760
Plausibel,49.009095,8.420880,55.180
Plausibel,49.007378,8.426603,54.560
Plausibel,49.060454,8.323159,54.400
Plausibel,49.008642,8.363537,54.400
Plausibel,49.000674,8.328239,53.625
Plausibel,48.993754,8.446847,53.300
Plausibel,49.006639,8.444831,53.040
Plausibel,48.954166,8.511718,52.800
Plausibel,48.952323,8.518011,52.500
Plausibel,49.014321,8.473409,52.500
Plausibel,49.033476,8.474195,52.200
Plausibel,48.992817,8.440687,51.810
Plausibel,49.004571,8.431662,51.750
Plausibel,48.983019,8.374673,51.660
Plausibel,48.982293,8.376308,51.360
Plausibel,49.018484,8.373688,50.400
Plausibel,49.003789,8.377255,50.150
Plausibel,49.018439,8.422401,50.100
Plausibel,49.031676,8.391194,49.500
Plausibel,48.992675,8.438627,49.140
Plausibel,48.992051,8.439066,49.140
Plausibel,48.998304,8.359669,48.960
Plausibel,49.057620,8.389135,48.840
Plausibel,48.970801,8.418568,48.600
Plausibel,49.059216,8.323626,48.450
Plausibel,48.993764,8.447402,48.100
Plausibel,49.011962,8.435252,48.000
Plausibel,49.011179,8.314977,47.970
Plausibel,49.056720,8.393346,47.700
Plausibel,49.005335,8.429783,46.740
Plausibel,48.995817,8.347214,46.620
Plausibel,49.000127,8.339134,46.420
Plausibel,49.013987,8.394065,46.200
Plausibel,49.007881,8.359317,45.880
Plausibel,49.026373,8.354417,44.625
Plausibel,49.004066,8.385751,44.370
Plausibel,49.028429,8.472129,44.220
Plausibel,49.003159,8.499277,43.860
Plausibel,49.015606,8.390090,43.600
Plausibel,49.015018,8.390057,43.600
Plausibel,49.016190,8.390110,43.600
Plausibel,49.007340,8.398046,43.120
Plausibel,49.020946,8.370876,43.000
Plausibel,49.010010,8.393145,42.840
Plausibel,49.026692,8.348275,42.400
Plausibel,49.031025,8.394097,42.240
Plausibel,49.001304,8.409820,42.180
Plausibel,49.033028,8.357437,41.800
Plausibel,49.064204,8.375588,41.745
Plausibel,49.025548,8.355776,41.625
Plausibel,49.023000,8.353000,41.600
Plausibel,48.991908,8.438186,41.160
Plausibel,48.981353,8.369339,41.000
Plausibel,48.943178,8.488933,40.300
Plausibel,48.991741,8.454145,40.080
Plausibel,48.964114,8.389678,40.000
Plausibel,49.052067,8.418532,40.000
Plausibel,48.941685,8.475983,39.980
Plausibel,49.000391,8.424249,39.820
Plausibel,49.000596,8.424822,39.820
Plausibel,49.002356,8.476014,39.600
Plausibel,49.030573,8.490938,39.600
Plausibel,48.998763,8.362842,39.480
Plausibel,48.952886,8.478039,39.000
Plausibel,49.002309,8.463994,38.000
Plausibel,48.998964,8.347764,36.480
Plausibel,49.018654,8.377379,36.120
Plausibel,49.014619,8.430902,35.670
Plausibel,49.027665,8.460374,35.280
Plausibel,48.993035,8.406481,34.710
Plausibel,49.030848,8.471326,34.500
Plausibel,49.057666,8.397148,33.390
Plausibel,48.965220,8.389458,33.250
Plausibel,49.041897,8.392285,32.665
Plausibel,49.033099,8.347220,31.920
Plausibel,48.993381,8.371009,31.700
Plausibel,48.943155,8.487186,30.600
Plausibel,49.020585,8.371651,30.375
