lageeinheitbezeichnung,gemeindeschluessel,Bruttoleistung [kWp]
"Bauliche Anlagen (Hausdach, Gebäude und Fassade)",08212000,97955.467
Steckerfertige Solaranlage (sog. Balkonkraftwerk),08212000,1347.372
Bauliche Anlagen (Sonstige),08212000,467.990
Freifläche,08212000,454.680
