ZEIT,Anzahl aller PV-Anlagen,Leistung ab Jahr…,Leistung aller Anlagen (Summe),Stromproduktion
2007,,4.94,,
2011,,7.82,,
2017,,,,2940.0
2018,,8.4,,3489.0
2019,,5.4,,3041.0
2020,,29.48,,3178.0
2021,,29.9,,2993.0
2022,,,,3224.1
2023,18.0,5.0,573.93,
